epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,36495.2,0.86156,0.71545,0.86943,0.60003,0.58532,0.57785,0.42055,0.8222,0.74899,0.87594,0.003169,0.003169,0.003169
71,37012.7,0.85179,0.72031,0.86839,0.59575,0.62312,0.59976,0.42764,0.81388,0.74856,0.87153,0.00307,0.00307,0.00307
72,37532.4,0.86999,0.73699,0.86888,0.56698,0.61017,0.59129,0.42712,0.80577,0.74146,0.86951,0.002971,0.002971,0.002971
73,38059.6,0.86603,0.73423,0.87093,0.5324,0.62784,0.59926,0.42478,0.82397,0.74981,0.87447,0.002872,0.002872,0.002872
74,38587.1,0.85331,0.69513,0.86389,0.5575,0.61813,0.57041,0.43529,0.8178,0.74473,0.87669,0.002773,0.002773,0.002773
75,39106.2,0.85488,0.71153,0.86211,0.6628,0.61699,0.61106,0.45438,0.82221,0.73935,0.87702,0.002674,0.002674,0.002674
76,39626.1,0.85813,0.71858,0.86501,0.68548,0.53215,0.59456,0.4521,0.79992,0.74187,0.86476,0.002575,0.002575,0.002575
77,40145.1,0.84268,0.70294,0.86527,0.62739,0.58702,0.59321,0.44968,0.78402,0.74345,0.86347,0.002476,0.002476,0.002476
78,40664.6,0.83998,0.70709,0.85991,0.62467,0.58453,0.58339,0.45287,0.81307,0.74613,0.88376,0.002377,0.002377,0.002377
79,41185,0.85107,0.69549,0.86527,0.60046,0.59172,0.60038,0.44722,0.82443,0.74624,0.88677,0.002278,0.002278,0.002278
80,41702.4,0.84356,0.69779,0.86373,0.55265,0.57562,0.59483,0.4454,0.82513,0.75464,0.88269,0.002179,0.002179,0.002179
81,42224.8,0.84478,0.69081,0.86616,0.70268,0.4844,0.56297,0.41794,0.81092,0.73448,0.88289,0.00208,0.00208,0.00208
82,42741.8,0.82766,0.69161,0.86219,0.62639,0.56407,0.58733,0.4466,0.78515,0.73328,0.86874,0.001981,0.001981,0.001981
83,43262.9,0.81717,0.66996,0.85812,0.61739,0.62898,0.59612,0.44792,0.81355,0.71794,0.87868,0.001882,0.001882,0.001882
84,43787.5,0.813,0.67759,0.85799,0.63612,0.62581,0.63584,0.48505,0.80879,0.72435,0.87737,0.001783,0.001783,0.001783
85,44304.7,0.82747,0.67916,0.86141,0.57458,0.6263,0.60093,0.47445,0.77929,0.72014,0.86824,0.001684,0.001684,0.001684
86,44824.4,0.82207,0.66821,0.85749,0.68204,0.64325,0.63604,0.48576,0.77783,0.70344,0.8651,0.001585,0.001585,0.001585
87,45345.1,0.82273,0.66258,0.85915,0.6928,0.55313,0.62705,0.46356,0.79574,0.72516,0.87541,0.001486,0.001486,0.001486
88,45863.9,0.80455,0.66031,0.85629,0.60036,0.59046,0.58528,0.4546,0.76897,0.72251,0.86543,0.001387,0.001387,0.001387
89,46383.2,0.79779,0.65428,0.85349,0.5802,0.59575,0.62343,0.48436,0.7775,0.74649,0.86595,0.001288,0.001288,0.001288
90,46903.1,0.81894,0.66246,0.85758,0.72065,0.57238,0.63162,0.48615,0.77162,0.70119,0.86787,0.001189,0.001189,0.001189
91,47407.2,0.78118,0.66758,0.86088,0.63605,0.63528,0.62271,0.46673,0.78988,0.69251,0.86846,0.00109,0.00109,0.00109
92,47911.5,0.75456,0.63152,0.85543,0.64145,0.60474,0.62084,0.47309,0.77196,0.71764,0.86423,0.000991,0.000991,0.000991
93,48415,0.76084,0.63039,0.85199,0.56517,0.6568,0.61791,0.46373,0.78779,0.72616,0.87519,0.000892,0.000892,0.000892
94,48916.1,0.73923,0.61473,0.85018,0.5965,0.60508,0.61183,0.47699,0.78221,0.70297,0.86904,0.000793,0.000793,0.000793
95,49419.3,0.75346,0.61468,0.84687,0.59427,0.62228,0.61527,0.46762,0.77633,0.70844,0.87034,0.000694,0.000694,0.000694
96,49921.5,0.74839,0.6104,0.85271,0.59914,0.60183,0.61597,0.48348,0.7802,0.70568,0.87274,0.000595,0.000595,0.000595
97,50426.7,0.73977,0.60066,0.84773,0.59618,0.63895,0.63859,0.48043,0.77662,0.70155,0.87077,0.000496,0.000496,0.000496
98,50937.2,0.73058,0.59028,0.84688,0.66033,0.5671,0.63158,0.4918,0.76112,0.69507,0.86706,0.000397,0.000397,0.000397
99,51441.2,0.73676,0.58853,0.84383,0.67492,0.58485,0.6469,0.49921,0.76614,0.69521,0.86801,0.000298,0.000298,0.000298
100,51946.7,0.72363,0.58432,0.84615,0.63093,0.59944,0.63883,0.49076,0.76363,0.69893,0.86835,0.000199,0.000199,0.000199
